authors,comments
@jlee2302,"종려, 느비 동시 픽업이라니.."
@surisdall_059,아..나히다 아직 못 뽑았는데..종려..? 둘다 뽑을수 있을까..(무과금..)
@helenalaven7539,한정 4성누기 예쁜데 바로 이벤트 가쥬아
@muh0108,라슬1돌인데 3돌하고싶다고요... 근데 느비3돌인데 4돌은 해야겠다 차스카도 뽑아야겠다ㅎ
@겜플-y3v,난 느비 1돌해서 상관없고 종려는 뽑아야겠다...  보호막 캐릭이 레일라밖에 없어... 토마는 너무 약해...
@chachacha-q6w,종려 복각도 하겠다 바위도 좀 상향해주세욥
@yee4941,애니는 켄리아랑 천리까지 다 끝나면 나오려낭...
@Moon_River_0607,올로룬 차라리 후반이었으면....ㅠ 차스카 안뽑을랬는데 리니 돌파해야되나 고민이네....
@민찬-c6m,후반이 진짜 좋네. 이거
@슈카롱-r6x,벤티야….언제와?……ㅜㅜ
@마메흐귀여워,느비예트 전무를 관홍의 창이 막고있잖아...
@margaret8163,올로룬 뽑다가 리니 2돌이나 노려야겠다
@왈왈이-r4y,아 랑자 기다렸는데…
@Mammitum,저는 이 일을 기억할거에욬ㅋㅋㅋ
@임주영-i5l,라이오슬리는 또 안 나오네? 진짜 실화임? 얼음캐는 뭐 갖다버리려고 작정을 했나?
@gyurir,"느비, 종려는 진짜 재앙인데.. 뭘.. 뭘 버려야 하지.."
@Cuanho1,이걸로 5.2 마신이 없다는 언급은 오타였던 것
@jeadragon08,올로룬 4성이네..?
@민찬정-f1u,아니 얼음 천대받는거 실화냐 ㅋㅋ 나중에 카피타노 얼음으로 내서 떡상시키려하는건가? 이해가 안가네 라이오슬리는 복각을 안하냐 ㅋㅋㅋ
@모모-o7f,1:55
@DeniseYvonne-t6f,ㄹㅇ ㄱ글 에서 벳프리 보면 다른거 눈에도 안들어옴 그냥 다시보면 되니까 개이득임 ㅋㅋㅋㅋ
@LancelotNimble,이 댓글 보고 ㄱ글 에서 벳프리 보고있는 내 인생이 레전드네 씨밬ㅋㅋㅋㅋ
@WhitneySerene-t9x,여기댓글 왜이럼 ㄷㄷ ㄱ글 에서 벳프리 도대체 머길래--ㅋ
@JJ876ggyu,돌쓰게 만들려는 의도겠지만 응 마비카나 내줘
@s1ms1mhan,산용하고 깃용 인퍼머스 같은데
@류하연-p1y,방금 나히다 2돌했는데 ㄴㅇㅅ 이제 멈추고 느비 종려 뽑아야겠다. 50일차 뉴비라 원석 모으기 바쁘네
@sweetcandy016,
@파키라고,울로룬 누가봐도 5성디자인이고 시틀라리기 4성디자인이였는데 왜 반대냐ㅋㅋ 어쨋든 시틀라리 코인 딱싱 성공!
@레인-e7c,5.2에 그래서 마신임무 있지만 5.3이 피날래인건가?
@클룬웨스트,와 올로룬 4성이네 ㄷㄷ
@그냥I,종려 뽑아야하는데 차스카 뽑고싶다
@정재빈-j3t,일단 차스카는 딜러로 나오겠지만 평타딜러는 아닌거 같다
@langezoa,5.2 가챠 안해도 되겠다
@xyz_VRN,이번 픽업 쓸데없네 마음 큰 눈나 존버 간다
@대황츄린,라슬이랑 신학도 곧 나온다는 찌라시 있음. 그러면 이제 감우가...
@뜨형,리니 왤캐 복각 자주하는거여 일부로 거르라고 내는거 아닌가 싶음 이정도면 출시부터 복각까지 한번도 매출 중위권이라도 친적이 없었을텐데
@Redan_1111,열리는 지역 꽃깃회 연기주인 오츠카나타 전반 차스카 리니 (올로룬) 후반 종려 느비예트
@Gorefurry,나도 카페 가고 싶넹…못가지만 ㅋㅋㅋ
@티벳여우-p9z,안녕하세요
@potatokam,애니는 만들긴 하는거지?
@So_oyeon,얼음캐들은 ㄹㅇ 군대들어갔나
@도라지-e5x,와 올로룬이 4성이라고.......?
@토핑-c9l,그래서 쿠폰 뭐임??
@user-ic4we4zm9u,올로룬이 4성이였음?
@텐몽king,카피타노까지 버텨야겠다
@몽글몽글한노랑,이번 픽업 너무 빤센거 아닌가요..
@mint-chocokorone,방랑자 따잇
@초코모자-h1p,어떡해 너무 좋아
@조승재-j7m,느비뽑을 원석이 없다 젠장
@해파리모,종려... 느비.....?
@낙원-s1k,어라 올로룬 4성이네 ㅎ
@renz8539,세상이 신학을 잊어~~~~~~~~~~~~ 얼음원소들은 이제 죽었어~~~~~~~~~~~~~
@lightystar,피슬맘 승천
@user-syj2849,토르크막토........
@user-pk9cw7wb4r,차스카 이쁘다
@아쥬-1,더 줘.
@차태준-m4t,시틀라리 ㅠㅠ
@프로사탄,노잼 이밴트 ;; 한정 무기주니깐 한다
@말랑햄찌-n3w,시그윈 이후로 신캐안뽑고 불신 존버하다가 지쳐서 접었는데 아직도 안나오네...개노잼 ㅜ
@박영식-v9w,
@J_E_S09,차스카 눈나ㅏㅏㅏㅏㅏ
